date,capital,unrealized,equity,active_positions
2020-02-17,1000000.0,0.0,1000000.0,0
2020-02-18,998800.599840024,74.08552743747163,998874.6853674615,6
2020-02-19,998401.1195521121,811.2699704270532,999212.3895225391,8
2020-02-20,998001.799040336,-3021.1963096216396,994980.6027307144,10
2020-02-21,996406.1134768933,1541.8433579834505,997947.9568348767,18
2020-02-24,991978.949396261,-7469.594969774058,984509.354426487,19
2020-02-25,988362.2993591028,-9273.667442785785,979088.631916317,21
2020-02-26,986990.8729227275,-18349.43578847286,968641.4371342546,22
2020-02-27,986398.7968299827,-15097.522585583712,971301.2742443989,25
2020-02-28,965292.1701072835,-39525.6560677185,925766.514039565,27
2020-03-02,963931.9048669917,-32888.52660146715,931043.3782655245,28
2020-03-03,951166.1483926533,-27829.72853450707,923336.4198581462,28
2020-03-04,951115.8709041838,-26637.23325980222,924478.6376443816,29
2020-03-05,937999.7521493664,11601.255898497637,949601.0080478641,28
2020-03-06,933044.5775984863,-5375.143682768137,927669.4339157182,28
2020-03-09,932857.9686829667,-56464.74340446786,876393.2252784988,29
2020-03-10,932298.3658372503,-47256.666602405116,885041.6992348451,32
2020-03-11,909990.5448152056,-42176.037992213845,867814.5068229918,32
2020-03-12,885928.7608592821,-87552.32838505921,798376.4324742228,30
2020-03-13,884625.0761710447,-113062.29650563475,771562.7796654099,32
2020-03-16,838046.2868504128,-153100.01275434083,684946.274096072,32
2020-03-17,811067.8192882043,-135512.0529521883,675555.766336016,30
2020-03-18,682904.2533434426,-133504.52307260648,549399.730270836,24
2020-03-19,633805.9180121758,-147338.70064832646,486467.2173638494,25
2020-03-20,585195.6839835632,-92964.98765652545,492230.69632703776,26
2020-03-23,563883.4319420898,-132407.259558124,431476.1723839658,27
2020-03-24,545059.7035799399,-91493.15196437946,453566.5516155604,27
2020-03-25,525983.4080307153,-49086.16319967345,476897.24483104184,29
2020-03-26,507170.63793485396,-48506.362397946556,458664.27553690743,31
2020-03-27,504843.09023548994,-47461.15433094363,457381.9359045463,35
2020-03-30,484500.23587252584,-63052.29799759762,421447.93787492823,41
2020-03-31,464935.11617032066,-26401.571585314952,438533.54458500573,51
2020-04-01,444121.3909067073,-42382.713508912435,401738.6773977949,58
2020-04-02,443499.99389707716,-16696.523763107052,426803.4701339701,65
2020-04-03,408691.49243061565,-13490.938016978236,395200.55441363744,67
2020-04-06,408282.96438209,25072.95530473067,433355.9196868207,72
2020-04-07,412750.83457340027,85123.07365827892,497873.9082316792,75
2020-04-08,407861.68062383,66837.79482648318,474699.4754503132,74
2020-04-09,402118.6417212391,98720.14491406997,500838.78663530905,76
2020-04-14,403952.13741654844,111245.42651417776,515197.5639307262,77
2020-04-15,401353.2464574128,100880.6320942643,502233.8785516771,78
2020-04-16,405108.5613142683,104227.45647335787,509336.0177876262,79
2020-04-17,404080.8560596664,135342.48822497675,539423.3442846432,82
2020-04-20,402115.93618577364,155507.34197569694,557623.2781614705,79
2020-04-21,399645.5555549944,100380.68548643534,500026.2410414297,80
2020-04-22,425801.5451343083,108395.2229407158,534196.7680750241,80
2020-04-23,424325.67422796384,113264.13448111276,537589.8087090766,82
2020-04-24,417029.8297812511,83156.76515462357,500186.5949358747,80
2020-04-27,418381.17579460196,121945.24083359445,540326.4166281964,74
