Symbol,Entry Date,Entry Price,Exit Date,Exit Price,ATR,Size,P&L,P&L %,Holding Days,Peak ATR Gain,Exit Reason
0012.HK,2020-02-19,25.003,2020-02-24,24.192,0.456,2000.0,-2015.0,-4.03,4,0.44,Quadrant Exit (Lagging)
0991.HK,2020-02-25,1.047,2020-02-25,1.024,0.021,47385.0,-1512.0,-3.05,1,0.0,Quadrant Exit (Lagging)
2018.HK,2020-02-24,53.928,2020-02-26,53.831,1.995,924.0,-488.0,-0.98,3,0.9,Quadrant Exit (Lagging)
1997.HK,2020-02-19,31.828,2020-02-28,26.981,0.774,1570.0,-7977.0,-15.97,8,0.05,Quadrant Exit (Lagging)
0291.HK,2020-02-24,33.634,2020-02-28,32.421,1.309,1483.0,-2190.0,-4.39,5,0.31,Quadrant Exit (Lagging)
0823.HK,2020-03-02,49.38,2020-03-02,49.276,0.779,978.0,-487.0,-1.01,1,1.06,Quadrant Exit (Lagging)
0992.HK,2020-02-24,4.181,2020-03-03,3.777,0.129,11928.0,-5194.0,-10.42,7,0.3,Quadrant Exit (Lagging)
0762.HK,2020-03-03,4.315,2020-03-03,4.26,0.091,11174.0,-998.0,-2.07,1,0.15,Quadrant Exit (Lagging)
1951.HK,2020-02-27,9.829,2020-03-04,9.655,0.354,5022.0,-1262.0,-2.56,5,0.98,Quadrant Exit (Lagging)
0291.HK,2020-03-04,32.421,2020-03-04,33.723,1.148,1467.0,1523.0,3.2,1,1.33,Quadrant Exit (Lagging)
2600.HK,2020-02-20,2.053,2020-03-05,1.909,0.055,24321.0,-3889.0,-7.79,11,0.82,Quadrant Exit (Lagging)
1347.HK,2020-03-04,16.974,2020-03-05,16.617,1.119,2802.0,-1377.0,-2.89,2,0.02,Quadrant Exit (Lagging)
0981.HK,2020-03-05,14.94,2020-03-05,14.98,1.049,3185.0,-254.0,-0.53,1,0.13,Quadrant Exit (Lagging)
0991.HK,2020-03-05,0.992,2020-03-05,0.984,0.027,47957.0,-757.0,-1.59,1,0.0,Quadrant Exit (Lagging)
0285.HK,2020-02-24,15.095,2020-03-06,14.492,0.801,3305.0,-2384.0,-4.78,10,0.61,Quadrant Exit (Lagging)
1113.HK,2020-02-20,38.649,2020-03-11,34.258,0.649,1292.0,-6050.0,-12.11,15,0.06,Quadrant Exit (Lagging)
0001.HK,2020-02-26,49.67,2020-03-11,45.105,0.736,996.0,-4922.0,-9.95,11,1.29,Quadrant Exit (Lagging)
0386.HK,2020-02-19,2.482,2020-03-12,2.169,0.057,20134.0,-6680.0,-13.37,17,0.82,Quadrant Exit (Lagging)
1299.HK,2020-02-26,67.38,2020-03-12,60.598,1.359,734.0,-5351.0,-10.83,12,1.13,Quadrant Exit (Lagging)
0916.HK,2020-03-02,3.441,2020-03-13,3.441,0.101,14034.0,-386.0,-0.8,10,4.58,Trailing SL (4.6 ATR peak)
2313.HK,2020-03-05,90.452,2020-03-16,66.917,2.946,526.0,-12707.0,-26.71,8,0.55,Quadrant Exit (Lagging)
1951.HK,2020-03-09,10.079,2020-03-16,7.902,0.429,4629.0,-10415.0,-22.32,6,0.18,Quadrant Exit (Lagging)
0522.HK,2020-03-06,76.794,2020-03-17,64.957,3.615,611.0,-7580.0,-16.15,8,0.0,Quadrant Exit (Lagging)
0027.HK,2020-03-16,43.137,2020-03-17,39.944,2.046,1026.0,-3618.0,-8.17,2,0.38,Quadrant Exit (Lagging)
0868.HK,2020-03-16,6.33,2020-03-17,6.123,0.273,6991.0,-1794.0,-4.05,2,1.0,Quadrant Exit (Lagging)
1347.HK,2020-03-17,12.83,2020-03-17,12.83,1.006,3267.0,-335.0,-0.8,1,0.0,Quadrant Exit (Lagging)
3690.HK,2020-02-24,101.5,2020-03-18,75.55,3.711,491.0,-13088.0,-26.26,18,0.65,Quadrant Exit (Lagging)
2382.HK,2020-02-25,122.521,2020-03-18,88.445,4.718,405.0,-14139.0,-28.5,17,1.1,Quadrant Exit (Lagging)
2233.HK,2020-03-03,0.919,2020-03-18,0.68,0.032,52483.0,-12834.0,-26.62,12,0.85,Quadrant Exit (Lagging)
0836.HK,2020-03-06,7.014,2020-03-18,5.231,0.176,6688.0,-12251.0,-26.12,9,0.0,Quadrant Exit (Lagging)
1093.HK,2020-03-11,7.813,2020-03-18,6.268,0.291,5969.0,-9559.0,-20.5,6,0.0,Quadrant Exit (Lagging)
1929.HK,2020-03-18,4.264,2020-03-18,4.065,0.226,9513.0,-2212.0,-5.45,1,0.46,Quadrant Exit (Lagging)
0017.HK,2020-02-19,28.071,2020-03-19,21.699,0.62,1781.0,-11699.0,-23.41,22,0.18,Quadrant Exit (Lagging)
2331.HK,2020-02-24,19.73,2020-03-19,14.857,0.881,2526.0,-12660.0,-25.4,19,0.4,Quadrant Exit (Lagging)
1818.HK,2020-02-21,9.096,2020-03-20,7.404,0.257,5487.0,-9646.0,-19.33,21,2.28,Quadrant Exit (Lagging)
1038.HK,2020-02-27,39.356,2020-03-20,28.081,0.416,1254.0,-14483.0,-29.34,17,0.87,Quadrant Exit (Lagging)
1787.HK,2020-02-21,13.579,2020-03-23,10.809,0.4,3676.0,-10543.0,-21.12,22,3.41,Quadrant Exit (Lagging)
2318.HK,2020-02-28,63.83,2020-03-24,54.143,1.089,773.0,-7851.0,-15.92,18,1.93,Quadrant Exit (Lagging)
1347.HK,2020-03-20,13.583,2020-03-24,13.068,0.932,2333.0,-1452.0,-4.58,3,0.15,Quadrant Exit (Lagging)
0006.HK,2020-02-26,39.371,2020-03-25,32.187,0.579,1256.0,-9380.0,-18.97,21,1.46,Quadrant Exit (Lagging)
0012.HK,2020-02-28,23.99,2020-03-26,19.665,0.432,2057.0,-9254.0,-18.76,20,2.42,Quadrant Exit (Lagging)
1997.HK,2020-03-17,25.378,2020-03-27,23.852,1.338,1651.0,-2846.0,-6.79,9,0.29,Quadrant Exit (Lagging)
0522.HK,2020-03-20,58.635,2020-03-27,62.793,3.864,541.0,1985.0,6.26,6,1.68,Quadrant Exit (Lagging)
0003.HK,2020-02-28,10.514,2020-03-30,8.495,0.096,4694.0,-9832.0,-19.92,22,2.48,Quadrant Exit (Lagging)
1876.HK,2020-02-24,21.308,2020-03-31,17.501,0.616,2340.0,-9271.0,-18.59,27,0.5,Quadrant Exit (Lagging)
0823.HK,2020-03-06,51.968,2020-04-01,45.446,0.934,903.0,-6240.0,-13.3,19,1.99,Quadrant Exit (Lagging)
0005.HK,2020-03-20,33.195,2020-04-01,29.502,1.218,955.0,-3767.0,-11.88,9,1.24,Quadrant Exit (Lagging)
0267.HK,2020-03-12,5.617,2020-04-03,5.125,0.247,8104.0,-4332.0,-9.52,17,0.93,Quadrant Exit (Lagging)
2400.HK,2020-03-16,28.198,2020-04-03,20.876,2.24,1569.0,-11795.0,-26.66,15,1.55,Quadrant Exit (Lagging)
2313.HK,2020-04-01,69.446,2020-04-03,66.788,6.807,335.0,-1073.0,-4.61,3,0.25,Quadrant Exit (Lagging)
0027.HK,2020-04-03,38.534,2020-04-07,43.023,2.791,576.0,2399.0,10.8,3,1.61,Quadrant Exit (Lagging)
0799.HK,2020-03-25,3.832,2020-04-08,3.849,0.281,7115.0,-101.0,-0.37,11,0.65,Quadrant Exit (Lagging)
1928.HK,2020-03-26,30.125,2020-04-08,27.647,2.079,873.0,-2366.0,-8.99,10,0.0,Quadrant Exit (Lagging)
0175.HK,2020-04-03,9.845,2020-04-08,9.97,0.712,2255.0,104.0,0.47,4,0.73,Quadrant Exit (Lagging)
3968.HK,2020-03-02,27.86,2020-04-09,26.49,0.642,1733.0,-2751.0,-5.7,29,2.85,Quadrant Exit (Lagging)
1093.HK,2020-03-30,6.957,2020-04-14,7.289,0.488,3631.0,998.0,3.95,10,1.13,Quadrant Exit (Lagging)
1800.HK,2020-04-14,3.747,2020-04-15,3.549,0.132,5368.0,-1219.0,-6.06,2,0.0,Quadrant Exit (Lagging)
0868.HK,2020-03-23,5.99,2020-04-16,6.441,0.328,4887.0,1959.0,6.69,17,2.5,Quadrant Exit (Lagging)
1109.HK,2020-04-06,24.155,2020-04-17,23.932,1.329,846.0,-352.0,-1.72,8,0.59,Quadrant Exit (Lagging)
0772.HK,2020-03-24,31.2,2020-04-20,30.9,2.193,904.0,-496.0,-1.76,18,0.64,Quadrant Exit (Lagging)
1810.HK,2020-04-02,10.14,2020-04-20,10.34,0.64,2192.0,259.0,1.16,11,1.03,Quadrant Exit (Lagging)
1776.HK,2020-04-06,6.362,2020-04-20,6.301,0.277,3213.0,-356.0,-1.74,9,1.03,Quadrant Exit (Lagging)
1898.HK,2020-04-06,1.504,2020-04-20,1.49,0.061,13592.0,-349.0,-1.71,9,0.9,Quadrant Exit (Lagging)
0799.HK,2020-04-15,4.005,2020-04-21,3.807,0.164,5044.0,-1155.0,-5.72,5,0.4,Quadrant Exit (Lagging)
1833.HK,2020-04-01,25.803,2020-04-22,42.353,1.655,902.0,14679.0,63.08,14,10.92,Take Profit (10 ATR)
2018.HK,2020-04-01,38.09,2020-04-22,35.903,3.658,611.0,-1516.0,-6.52,14,1.14,Quadrant Exit (Lagging)
6060.HK,2020-04-03,25.5,2020-04-23,25.0,1.879,870.0,-611.0,-2.75,13,1.46,Quadrant Exit (Lagging)
0991.HK,2020-03-30,0.827,2020-04-24,0.811,0.043,30565.0,-681.0,-2.7,18,1.82,Quadrant Exit (Lagging)
0763.HK,2020-04-02,20.621,2020-04-24,19.264,2.414,1078.0,-1636.0,-7.36,15,0.69,Quadrant Exit (Lagging)
2600.HK,2020-04-07,1.423,2020-04-24,1.369,0.082,14352.0,-936.0,-4.58,12,1.76,Quadrant Exit (Lagging)
0868.HK,2020-04-24,6.603,2020-04-24,6.559,0.206,3215.0,-312.0,-1.47,1,0.0,Quadrant Exit (Lagging)
2319.HK,2020-03-02,25.264,2020-04-27,24.996,0.695,1911.0,-896.0,-1.86,39,1.93,Quadrant Exit (Lagging)
0386.HK,2020-03-18,2.169,2020-04-27,2.24,0.086,18707.0,997.0,2.46,27,3.23,Quadrant Exit (Lagging)
0857.HK,2020-03-25,1.594,2020-04-27,1.714,0.098,17097.0,1813.0,6.65,22,3.45,Quadrant Exit (Lagging)
2382.HK,2020-04-03,101.559,2020-04-27,104.335,8.399,218.0,426.0,1.92,15,1.23,Quadrant Exit (Lagging)
6869.HK,2020-04-14,12.885,2020-04-27,11.92,0.57,1561.0,-1661.0,-8.26,10,0.29,Quadrant Exit (Lagging)
1800.HK,2020-04-27,3.474,2020-04-27,3.501,0.099,6004.0,-4.0,-0.02,1,0.41,Quadrant Exit (Lagging)
