Symbol,Entry Date,Entry Price,Exit Date,Exit Price,P&L,P&L %,Holding Days,Exit Reason
0772.HK,2020-02-18,38.5,2020-03-09,31.39107322692871,-9428.599860881988,-18.86474486512023,15,Stop Loss
1776.HK,2020-02-21,7.4956505861787015,2020-03-09,6.843296043367011,-4545.18549318307,-9.103107693074342,12,Stop Loss
1810.HK,2020-03-06,12.899999618530273,2020-03-10,11.72785724912371,-4728.03215837229,-9.486375225335921,3,Stop Loss
0175.HK,2020-02-18,13.502900123596191,2020-03-12,11.598890922624026,-7250.371340764519,-14.500742681529038,18,Stop Loss
0288.HK,2020-02-18,5.617101068126994,2020-03-12,5.07851811076139,-4993.137425893135,-9.988272506287526,18,Stop Loss
1211.HK,2020-03-04,16.168267333045332,2020-03-12,13.44918270759093,-8584.6344596978,-17.217415060283116,7,Stop Loss
1177.HK,2020-03-06,7.401750975897507,2020-03-12,6.5211672670544845,-6130.062758482787,-12.296964808874106,5,Stop Loss
2333.HK,2020-02-18,4.90630347780499,2020-03-13,4.2195869958757894,-7193.990126901877,-14.39661649622268,19,Stop Loss
1787.HK,2020-02-20,13.128533470965492,2020-03-13,11.84814036489141,-5070.286615581894,-10.15275044166772,17,Stop Loss
2238.HK,2020-02-24,7.47989963133376,2020-03-13,6.606362652843643,-6028.367357828749,-12.07845855619261,15,Stop Loss
0914.HK,2020-03-03,42.44763976002967,2020-03-13,36.723372016538626,-6926.0954740844045,-13.885479465648023,9,Stop Loss
1109.HK,2020-03-03,27.621930908266016,2020-03-13,24.736993565560773,-5408.105447016121,-10.844372452766905,9,Stop Loss
2269.HK,2020-03-12,41.266666412353516,2020-03-13,36.28928361620222,-6093.077496191164,-12.461509273405413,2,Stop Loss
6060.HK,2020-02-18,31.0,2020-03-16,25.792855943952286,-8591.742613075583,-17.197238890476495,20,Stop Loss
0763.HK,2020-03-03,31.87303816621067,2020-03-16,23.882887170490374,-12708.895875894767,-25.46868329919937,10,Stop Loss
6862.HK,2020-02-21,28.969888317406735,2020-03-19,24.615143245822537,-7703.648322091377,-15.431970520119757,20,Stop Loss
1347.HK,2020-04-20,16.022556342582416,2020-04-24,13.841975819905171,-6162.258373837715,-14.009442064385288,5,Stop Loss
2628.HK,2020-04-28,12.286187571286185,2020-05-15,11.104615857663639,-4363.856652554193,-10.01707369976977,12,Stop Loss
6869.HK,2020-02-19,13.097686638470865,2020-05-18,11.920365333557129,-4689.6939326456095,-9.38877288341651,60,Time Exit
0016.HK,2020-04-08,80.21150789565496,2020-05-22,72.01761625475733,-4688.036750273402,-10.615356693651552,29,Stop Loss
0288.HK,2020-04-08,5.245332638362897,2020-05-22,4.370707904596091,-7538.996455686266,-17.074342583538847,29,Stop Loss
0001.HK,2020-04-20,42.69459398332499,2020-05-22,38.712360784363305,-4286.384502035977,-9.727253938793767,23,Stop Loss
0017.HK,2020-04-20,25.029204504464968,2020-05-22,22.835082538350967,-4038.365055379867,-9.166247308109975,23,Stop Loss
0293.HK,2020-04-20,7.103143571905974,2020-05-22,6.216870371777286,-5671.0255179081505,-12.877196767274068,23,Stop Loss
0688.HK,2020-04-20,19.184756994327312,2020-05-22,17.683972841403715,-3620.5358251642087,-8.222794697724654,23,Stop Loss
1038.HK,2020-04-20,34.77336493980462,2020-05-22,31.46724396583081,-4360.629680344081,-9.907624527269544,23,Stop Loss
0006.HK,2020-04-24,36.27244661540882,2020-05-22,33.90668864936709,-3038.7426244174794,-6.922190220928563,19,Stop Loss
0003.HK,2020-04-29,9.953270911025749,2020-05-22,9.151201623265633,-3684.073873738717,-8.458348807442007,16,Stop Loss
1928.HK,2020-04-29,31.971285111111392,2020-05-22,27.537575606412453,-6213.159012259126,-14.267786325417475,16,Stop Loss
1997.HK,2020-05-04,25.15312951909285,2020-05-22,23.042977835364763,-3825.1252968211597,-8.789221238360604,15,Stop Loss
0066.HK,2020-05-07,34.36072327073526,2020-05-22,31.689225261886353,-3553.4840366620365,-8.174859649488798,12,Stop Loss
2388.HK,2020-04-20,17.25686933271534,2020-05-25,15.72996849576246,-4063.8352710881036,-9.248075554806466,24,Stop Loss
0868.HK,2020-05-06,6.750739864656918,2020-05-25,6.077564994307979,-4510.293263325525,-10.371868029951866,14,Stop Loss
0992.HK,2020-05-19,3.3430979043622333,2020-05-25,3.005850785016969,-4720.559625955802,-10.487862485427314,5,Stop Loss
1860.HK,2020-03-17,3.640000104904175,2020-05-26,5.281428847994123,16595.165687519107,37.178495782606575,47,Take Profit 5R
0522.HK,2020-04-16,67.88428183713575,2020-05-28,59.21235389588672,-5807.793879445645,-13.174574182068005,29,Stop Loss
1347.HK,2020-05-15,15.982897708575228,2020-05-28,13.914922461935815,-5923.3756916725315,-13.338675353780763,10,Stop Loss
0853.HK,2020-03-03,13.962226548604999,2020-05-29,22.339561462402344,30879.94125090282,61.89591743080498,60,Time Exit
3690.HK,2020-04-08,98.0,2020-05-29,144.0607267107282,17107.018622776282,38.767284617966155,34,Take Profit 5R
0175.HK,2020-05-04,10.310978526873988,2020-05-29,9.625074631581,1273.705806070526,2.9260853637959015,20,Stop Loss
2238.HK,2020-05-20,5.86437148414774,2020-05-29,5.145748714314567,-5694.414008545332,-12.654045838939712,8,Stop Loss
2318.HK,2020-05-04,56.905523190131554,2020-06-04,60.508477845567185,2121.738935350276,4.8762228419045766,24,Take Profit 5R
2013.HK,2020-04-23,5.809999942779541,2020-06-15,9.960713999611992,25964.19689661795,59.13405188914573,36,Take Profit 5R
0386.HK,2020-06-09,2.2830221067513015,2020-06-15,2.092462495295317,-3947.880702186526,-8.746814115048025,5,Stop Loss
0857.HK,2020-06-09,1.7889079680501914,2020-06-15,1.6344523037188508,-4076.72081659209,-9.034075485710344,5,Stop Loss
1211.HK,2020-04-16,13.669682304112133,2020-06-18,18.668005266818668,13253.589737536236,30.070855451671896,44,Take Profit 5R
0388.HK,2020-05-06,219.04065064345244,2020-06-22,263.22141514249194,7138.199394690857,16.408434252293034,34,Take Profit 5R
0968.HK,2020-05-06,4.158075818942467,2020-06-22,6.065696749554906,16447.94150056867,37.83124392301262,34,Take Profit 5R
0268.HK,2020-04-01,10.229828023354413,2020-06-23,16.56317284695018,22648.608355957324,51.19214153891378,56,Take Profit 5R
1801.HK,2020-04-08,33.54999923706055,2020-06-24,55.503565311431885,23895.520465485228,54.12947484750023,52,Take Profit 5R
1800.HK,2020-06-09,3.3987171852246063,2020-06-26,3.151808112600501,-3458.1168123836032,-7.664772535281965,13,Stop Loss
0700.HK,2020-04-01,341.35803980884356,2020-06-30,445.0396728515625,13477.45534648444,30.46888384484593,60,Time Exit
3888.HK,2020-04-01,24.579691058264356,2020-06-30,35.23060607910156,18378.01370017272,41.556032963698264,60,Time Exit
6098.HK,2020-04-01,26.33829297043207,2020-06-30,30.23921012878418,6371.861309611818,14.410819982644133,60,Time Exit
0799.HK,2020-05-06,4.013340001500153,2020-07-02,5.358970809363877,11978.73896936102,27.54079260999438,40,Take Profit 5R
6060.HK,2020-05-11,28.799999237060547,2020-07-03,42.964284215654644,17687.900974616754,40.58462197285741,38,Take Profit 5R
0941.HK,2020-04-06,40.584863938998396,2020-07-06,39.58151626586914,-1269.72204678877,-2.8722213548315696,60,Time Exit
0960.HK,2020-04-06,29.543168685219523,2020-07-06,30.516639709472656,1279.5711682641079,2.895079937515847,60,Time Exit
1787.HK,2020-04-06,12.664532001155832,2020-07-06,16.88998031616211,14543.439686675698,32.91168484602798,60,Time Exit
2233.HK,2020-04-06,0.8640778714666641,2020-07-06,1.1374613046646118,14825.954809817744,33.557725800007724,60,Time Exit
0772.HK,2020-05-07,35.400001525878906,2020-07-06,57.894650595528745,22839.619589127284,52.553503060363084,41,Take Profit 5R
1810.HK,2020-05-12,11.460000038146973,2020-07-06,14.465358427592689,9357.282166426017,21.453973090763238,38,Take Profit 5R
1776.HK,2020-06-18,6.3164760976685645,2020-07-06,7.929925278566881,9667.656402687624,20.886251436591447,11,Take Profit 5R
0914.HK,2020-04-07,39.59431832806381,2020-07-07,41.70349884033203,2176.325651560796,4.926977711277509,60,Time Exit
0285.HK,2020-04-16,14.228462140837586,2020-07-07,20.598962585390577,16274.764444532895,36.91078115057849,55,Take Profit 5R
